Timestamp,SpotPrice
Tue Aug 14 2018 18:00:41 GMT+0530 (IST),8.063700
Tue Aug 14 2018 11:19:38 GMT+0530 (IST),7.937100
Tue Aug 14 2018 04:38:12 GMT+0530 (IST),8.006400
Mon Aug 13 2018 22:29:21 GMT+0530 (IST),8.012800
Mon Aug 13 2018 17:03:04 GMT+0530 (IST),7.994200
Mon Aug 13 2018 10:05:05 GMT+0530 (IST),7.972200
Mon Aug 13 2018 05:12:40 GMT+0530 (IST),7.977800
Mon Aug 13 2018 00:28:51 GMT+0530 (IST),7.984700
Sun Aug 12 2018 18:29:02 GMT+0530 (IST),8.000600
Sun Aug 12 2018 13:19:42 GMT+0530 (IST),7.950000
Sun Aug 12 2018 07:03:54 GMT+0530 (IST),7.887900
Sat Aug 11 2018 23:31:45 GMT+0530 (IST),7.870200
Sat Aug 11 2018 17:49:10 GMT+0530 (IST),7.925700
Sat Aug 11 2018 10:35:14 GMT+0530 (IST),8.008300
Sat Aug 11 2018 03:20:29 GMT+0530 (IST),8.035000
Sat Aug 11 2018 00:57:05 GMT+0530 (IST),7.958500
Fri Aug 10 2018 21:45:54 GMT+0530 (IST),7.958500
Fri Aug 10 2018 15:37:49 GMT+0530 (IST),7.935300
Fri Aug 10 2018 08:31:49 GMT+0530 (IST),8.053200
Fri Aug 10 2018 05:57:03 GMT+0530 (IST),8.076100
Fri Aug 10 2018 01:32:49 GMT+0530 (IST),8.076100
Thu Aug 09 2018 19:55:28 GMT+0530 (IST),8.049400
Thu Aug 09 2018 12:40:53 GMT+0530 (IST),8.067200
Thu Aug 09 2018 10:57:04 GMT+0530 (IST),8.037300
Thu Aug 09 2018 06:50:26 GMT+0530 (IST),8.037300
Wed Aug 08 2018 23:35:37 GMT+0530 (IST),7.935600
Wed Aug 08 2018 18:34:16 GMT+0530 (IST),7.852400
Wed Aug 08 2018 15:57:03 GMT+0530 (IST),7.715200
Wed Aug 08 2018 12:52:17 GMT+0530 (IST),7.715200
Wed Aug 08 2018 06:44:00 GMT+0530 (IST),7.658500
Wed Aug 08 2018 01:43:16 GMT+0530 (IST),7.621300
Tue Aug 07 2018 20:57:02 GMT+0530 (IST),7.552900
Tue Aug 07 2018 20:33:47 GMT+0530 (IST),7.552900
Tue Aug 07 2018 14:42:50 GMT+0530 (IST),7.549900
Tue Aug 07 2018 09:25:26 GMT+0530 (IST),7.488900
Tue Aug 07 2018 03:51:15 GMT+0530 (IST),7.397400
Mon Aug 06 2018 22:24:19 GMT+0530 (IST),7.485200
Mon Aug 06 2018 15:24:57 GMT+0530 (IST),7.400300
Mon Aug 06 2018 10:40:47 GMT+0530 (IST),7.359900
Mon Aug 06 2018 02:35:39 GMT+0530 (IST),7.344000
Sun Aug 05 2018 02:34:54 GMT+0530 (IST),7.344000
Sat Aug 04 2018 02:34:14 GMT+0530 (IST),7.344000
Fri Aug 03 2018 02:33:37 GMT+0530 (IST),7.344000
